Epoch,loss,acc,val_loss,val_acc
1,  0.5790 , 0.7924 , 0.3611 , 0.8695
2,  0.3656 , 0.8684 , 0.3136 , 0.8841
3,  0.3162 , 0.8880 , 0.2721 , 0.8991
4,  0.2843 , 0.8985 , 0.2628 , 0.9050
5,  0.2600 , 0.9066 , 0.2536 , 0.9052
6,   0.2445 , 0.9108 , 0.2358 , 0.9147
7,  0.2284 , 0.9173 , 0.2302 , 0.9168
8,  0.2133 , 0.9233 , 0.2376 , 0.9174
9,  0.2028 , 0.9268 , 0.2262 , 0.9151
10,  0.1913 , 0.9309 , 0.2375 , 0.9141
11,   0.1845 , 0.9345 , 0.2192 , 0.9177
12,   0.1749 , 0.9371 , 0.2154 , 0.9215
13,   0.1696 , 0.9396 , 0.2178 , 0.9231
14,   0.1588 , 0.9430 , 0.2235 , 0.9244
15,   0.1518 , 0.9454 , 0.2153 , 0.9252
16,  0.1481 , 0.9466 , 0.2159 , 0.9257
17,   0.1435 , 0.9481 , 0.2146 , 0.9282
18,   0.1369 , 0.9505 , 0.2176 , 0.9275
19,  0.1318 , 0.9526 , 0.2212 , 0.9319
20,   0.1269 , 0.9545 , 0.2429 , 0.9198
21,  0.1265 , 0.9541 , 0.2256 , 0.9278
22,   0.1215 , 0.9551 , 0.2300 , 0.9256
23,  0.1166 , 0.9577 , 0.2223 , 0.9284
24,   0.1124 , 0.9602 , 0.2334 , 0.9325

Test loss: 0.23342773627713323
Test accuracy: 0.9325
